0.076286	0.076286	1
4.230540	4.230540	1
8.130223	8.130223	1
11.755801	11.755801	1
15.145098	15.145098	1
18.534304	18.534304	1
21.743102	21.743102	1
25.367683	25.367683	1
30.898930	30.898930	1
34.543737	34.543737	1
37.341923	37.341923	1
40.343193	40.343193	1
44.505461	44.505461	1
47.273352	47.273352	1
50.108726	50.108726	1
56.133034	56.133034	1
58.578295	58.578295	1
60.911628	60.911628	1
62.895393	62.895393	1
67.448409	67.448409	1
70.186096	70.186096	1
73.334576	73.334576	1
77.131765	77.131765	1
81.254028	81.254028	1
83.576572	83.576572	1
87.024644	87.024644	1
91.365687	91.365687	1
94.576209	94.576209	1
97.959701	97.959701	1
